circle,division,subdivision,section,area,catdesc,catcode,totservices,billdservices,units,load
BANJARA HILLS,BANJARA HILLS,AMEERPET,SRI KRISHNA NAGAR,GRC HIGH VALUES,DOMESTIC,1,57,57.0,27609.0,695.0
BANJARA HILLS,BANJARA HILLS,AMEERPET,SRI KRISHNA NAGAR,JAWAHAR NAGAR SAIBABA TEMPEL,DOMESTIC,1,1296,1284.0,200326.0,1571.68
BANJARA HILLS,BANJARA HILLS,AMEERPET,SRI KRISHNA NAGAR,JAWAHARNAGAR,DOMESTIC,1,1968,1918.0,260281.0,2216.56
BANJARA HILLS,BANJARA HILLS,AMEERPET,SRI KRISHNA NAGAR,KALYAN NAGAR,DOMESTIC,1,328,310.0,84078.0,912.71
BANJARA HILLS,BANJARA HILLS,AMEERPET,SRI KRISHNA NAGAR,KALYAN NAGAR APARTMENT,DOMESTIC,1,952,946.0,244370.0,3084.86
BANJARA HILLS,BANJARA HILLS,AMEERPET,SRI KRISHNA NAGAR,MADHRANAGAR A  C,DOMESTIC,1,877,853.0,231910.0,2749.36
BANJARA HILLS,BANJARA HILLS,AMEERPET,SRI KRISHNA NAGAR,"MADHURA NAGAR(B,D,H)",DOMESTIC,1,1714,1665.0,468656.0,5410.43
BANJARA HILLS,BANJARA HILLS,AMEERPET,SRI KRISHNA NAGAR,MADHURANGAR E F G,DOMESTIC,1,1955,1933.0,476888.0,6028.14
BANJARA HILLS,BANJARA HILLS,AMEERPET,SRI KRISHNA NAGAR,RAHAMATH NAGAR CHURCH,DOMESTIC,1,2159,2109.0,307828.0,2668.47
BANJARA HILLS,BANJARA HILLS,AMEERPET,SRI KRISHNA NAGAR,RAHMATHNAGAR(SOUTH),DOMESTIC,1,2207,2157.0,328697.0,2403.69
BANJARA HILLS,BANJARA HILLS,AMEERPET,SRI KRISHNA NAGAR,SIDHARTHA NAGAR,DOMESTIC,1,991,967.0,265532.0,2966.49
BANJARA HILLS,BANJARA HILLS,AMEERPET,SRI KRISHNA NAGAR,SRINIVASA COLONY,DOMESTIC,1,418,370.0,81299.0,1063.61
BANJARA HILLS,BANJARA HILLS,AMEERPET,SRI KRISHNA NAGAR,"VENGALARAO NAGAR (C,D)",DOMESTIC,1,1350,1339.0,200091.0,2157.04
BANJARA HILLS,BANJARA HILLS,AMEERPET,SRI KRISHNA NAGAR,VENGALARAO NAGAR A B C,DOMESTIC,1,1317,1287.0,274877.0,3318.94
BANJARA HILLS,BANJARA HILLS,AMEERPET,SRI KRISHNA NAGAR,VIKASPURI & LAKSHIMINAGAR,DOMESTIC,1,953,922.0,209508.0,1988.24
BANJARA HILLS,GREEN LANDS,GREENLANDS,GREENLANDS,SOMAJIGUDA APTS,DOMESTIC,1,563,545.0,229707.0,2755.2
BANJARA HILLS,GREEN LANDS,GREENLANDS,GREENLANDS,SOMAJIGUDA APTS-I,DOMESTIC,1,700,678.0,303195.0,3015.9
BANJARA HILLS,GREEN LANDS,GREENLANDS,GREENLANDS,SOMAJIGUDA APTS-II,DOMESTIC,1,383,369.0,153607.0,2043.5
BANJARA HILLS,GREEN LANDS,GREENLANDS,GREENLANDS,UMANAGAR,DOMESTIC,1,466,454.0,231248.0,2548.79
BANJARA HILLS,GREEN LANDS,GREENLANDS,GREENLANDS,VENKATRAM BAGH,DOMESTIC,1,92,87.0,38291.0,447.02
BANJARA HILLS,GREEN LANDS,GREENLANDS,SANJEEV REDDY NAGAR,A.LEELA NAGAR (APPTS.),DOMESTIC,1,1047,1011.0,288453.0,3634.8
BANJARA HILLS,GREEN LANDS,GREENLANDS,SANJEEV REDDY NAGAR,AMEERPET (SHESHMAHAL),DOMESTIC,1,444,422.0,72881.0,673.7
BANJARA HILLS,GREEN LANDS,GREENLANDS,SANJEEV REDDY NAGAR,AMEERPET MAIN RD(APPTS.),DOMESTIC,1,402,382.0,95359.0,1216.6
BANJARA HILLS,GREEN LANDS,GREENLANDS,SANJEEV REDDY NAGAR,AMEERPET MAIN ROAD,DOMESTIC,1,524,498.0,65257.0,753.78
BANJARA HILLS,GREEN LANDS,GREENLANDS,SANJEEV REDDY NAGAR,AMEERPET(SEESHMAHAL APPTS.),DOMESTIC,1,440,426.0,121829.0,1542.86
BANJARA HILLS,GREEN LANDS,GREENLANDS,SANJEEV REDDY NAGAR,ANAND BAGH,DOMESTIC,1,523,510.0,166829.0,1948.4
BANJARA HILLS,GREEN LANDS,GREENLANDS,SANJEEV REDDY NAGAR,B K GUDA,DOMESTIC,1,977,961.0,165473.0,1603.56
BANJARA HILLS,GREEN LANDS,GREENLANDS,SANJEEV REDDY NAGAR,B.K.GUDA DASARAM BASTI,DOMESTIC,1,1360,1337.0,163667.0,1813.27
BANJARA HILLS,GREEN LANDS,GREENLANDS,SANJEEV REDDY NAGAR,BALKAMPET EAST,DOMESTIC,1,839,807.0,243096.0,2203.16
